"sno_student","questionnaire_classification_final","questionnaire_type_initial","school","sno_questionnaire","sno_statement","sno_segment","sno","statement_first","statement_unique","statement_coded_multiple","age","gender","school_grade","consent_given","what_subjects_listed","what.follow.up.statenents.given","coding_round_1_coder_1","coding_round_1_coder_2","coding_round_1_final_coding","coding_round_1_coder_agreement","coding_round_2_coder_1","coding_round_2_coder_2","coding_round_2_final_coding","coding_round_2_coder_agreement","coding_round_3_coder_1_answer_1","coding_round_3_coder_1_answer_2","coding_round_3_coder_1_answer_3","coding_round_3_coder_1_answer_4","coding_round_3_coder_2_answer_1","coding_round_3_coder_2_answer_2","coding_round_3_coder_2_answer_3","coding_round_3_coder_2_answer_4","coding_round_3_coder_agreement","coding_round_3_final_coding_overall","coding_round_3_final_coding_separate","coding_round_4.1_coder_1_answer_1","coding_round_4.1_coder_1_answer_2","coding_round_4.1_coder_1_answer_3","coding_round_4.1_coder_2_answer_1","coding_round_4.1_coder_2_answer_2","coding_round_4.1_coder_2_answer_3","coding_round_4.1_coder_agreement","coding_round_4.1_final_coding_overall","coding_round_4.1_final_coding_separate","coding_round_4.2_coder_1_answer_1","coding_round_4.2_coder_1_answer_2","coding_round_4.2_coder_2_answer_1","coding_round_4.2_coder_2_answer_2","coding_round_4.2_coder_agreement","coding_round_4.2_final_coding_overall","coding_round_4.2_final_coding_separate","comment","additional.comment","statement_Kinyarwanda","statement_English","type","subjects.confidence","subjects.demotivation","subjects.motivation","subjects.unconfidence","biology_c","biology_d","biology_m","biology_u","chemistry_c","chemistry_d","chemistry_m","chemistry_u","english_c","english_d","english_m","english_u","entrepreneurship_c","entrepreneurship_d","entrepreneurship_m","entrepreneurship_u","french_c","french_d","french_m","french_u","geography_c","geography_d","geography_m","geography_u","history_c","history_d","history_m","history_u","ict_c","ict_d","ict_m","ict_u","kinyarwanda_c","kinyarwanda_d","kinyarwanda_m","kinyarwanda_u","kiswahili_c","kiswahili_d","kiswahili_m","kiswahili_u","literature_c","literature_d","literature_m","literature_u","mathematics_c","mathematics_d","mathematics_m","mathematics_u","physics_c","physics_d","physics_m","physics_u","religion_c","religion_d","religion_m","religion_u","sports_c","sports_d","sports_m","sports_u","mathematics_grades","physics_grades","chemistry_grades","biology_grades","kinyarwanda_grades","english_grades","geography_grades","history_grades","entrepreneurship_grades","ict_grades","religion_grades","french_grades","kiswahili_grades","literature_grades","library.and.clubs_grades","sports_grades"
"1","motivation","demotivation","A","m118","mm118_1","mm118_1_1","motivation1118_1","yes","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","expectancy",NA,NA,NA,"expectancy",NA,NA,NA,"agreement","expectancy","expectancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"expectancy",NA,NA,"hari igihe mba ntabyumvise neza","at times i don't understand it well","demotivation","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_10","mm118_10_1","motivation1118_10","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","different",NA,NA,NA,"different",NA,NA,NA,"agreement","different","different",NA,NA,NA,NA,NA,NA,NA,NA,NA,"source",NA,"source",NA,"agreement","sourcr","other factors",NA,"situational factor","hari n'igihe uba urwaye bigatuma ugira ishyaka ryinshi cyangwa rike","at times when your ill  you tend to be demotivated","demotivation","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_2","mm118_2_1","motivation1118_2","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","different",NA,NA,NA,"different",NA,NA,NA,"agreement","different","different",NA,NA,NA,NA,NA,NA,NA,NA,NA,"source",NA,"source",NA,"agreement","sourcr","other factors",NA,"situational factor","hari igihe mba numva uwo munsi nabyutse nabi","sometimes i wake up on the wrong side of the bed","demotivation","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_3","mm118_3_1","motivation1118_3","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","different",NA,NA,NA,"negative",NA,NA,NA,"coder 1","different","different",NA,NA,NA,NA,NA,NA,NA,NA,NA,"source",NA,"source",NA,"agreement","sourcr","other factors",NA,"school support [teaching quality]","hari igihe umwarimu bab atasobanuye neza bityo ishyaka rikagabanuka","there are times the teacher doesn't explain it well, so your motivation decreases","demotivation","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_4","mm118_4_1","motivation1118_4","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","no","no","no","agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kandi binaterwa n'isomo","and it depends on the subject/lesson","no","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_5","mm118_5_1","motivation1118_5","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","no","no","no","agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bigaterwa n'igihe runaka cyangwa amasaha","it also depends on the time or the hours","no","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_6","mm118_6_1","motivation1118_6","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","different",NA,NA,NA,"different",NA,NA,NA,"agreement","different","different",NA,NA,NA,NA,NA,NA,NA,NA,NA,"source",NA,"source",NA,"agreement","sourcr","other factors",NA,"school support [teaching quality]","biterwa kandi nimihindagurikire y'abarimu","it also depends on the constant changing of teacher","demotivation","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_7","mm118_7_1","motivation1118_7","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","no","demotivation","no","coder 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kandi binaterwa n'amasaha hamwe n'amasomo urimo kwiga","it also depends on the subjects/lessons your studies and the time your studying it","no","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_8","mm118_8_1","motivation1118_8","no","yes","no","16","female","1","yes","mathematics,physics",NA,"no","no","no","agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kandi binaterwa n'ikigo aho giherereye ahatuje cyangwa ahari urusaku","it also depends on the location of the school. whether it is situated somewhere that's quiet or where there is a lot of noise",NA,"English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"1","motivation","demotivation","A","m118","mm118_9","mm118_9_1","motivation1118_9","no","yes","no","16","female","1","yes","mathematics,physics",NA,"yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","outside",NA,NA,NA,"different",NA,NA,NA,"coder 2","different","different",NA,NA,NA,NA,NA,NA,NA,NA,NA,"source",NA,"source",NA,"agreement","sourcr","other factors",NA,"personal problems","hari igihe uba ufite nkibibazo runaka","there are times you may have certain problems","demotivation","English,History","Mathematics,Physics","","",0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
"10","motivation","demotivation","A","n51","nm51_1","nm51_1_1","motivation451_1","yes","yes","yes","13","male","1","yes","kiswahiri,chemistry,biology","when you don’t know something and you work on it and find you failed at it. then, you show to other students, they make fun of you and makes you angry and you feel, you won’t do it again.","yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","expectancy","negative",NA,NA,"expectancy",NA,NA,NA,"agreement","expectancy/ different/ negative","expectancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"expectancy",NA,NA,"nta ba mbizi neza. iyo ntabizi ncika intege nkumva ntashaka kubikora kubera ko nubundi iyo mbikoze nkabyica nubundi mba mbona nkoreye ubusa byose ari zero","i don’t know it well. when i don’t know i get discouraged and feel like i don’t want to do it because,  when i do it and fail, i feel like it is a waste of time, it's all zero","demotivation","Biology, Chemistry, Swahili","Kiswahiri,Chemistry,Biology","","",1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.367,0.604,0.538,0.446,0.461,0.543,0.372,0.372,0.425,0.767,0.8,0.508,0.583,0.533,0.583,0.65
"10","motivation","demotivation","A","n51","nm51_1","nm51_1_2","motivation451_1","no","no",NA,"13","male","1","yes","kiswahiri,chemistry,biology","when you don’t know something and you work on it and find you failed at it. then, you show to other students, they make fun of you and makes you angry and you feel, you won’t do it again.","yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","expectancy","negative",NA,NA,"expectancy",NA,NA,NA,"agreement","expectancy/ different/ negative","expectancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"expectancy",NA,NA,"nta ba mbizi neza. iyo ntabizi ncika intege nkumva ntashaka kubikora kubera ko nubundi iyo mbikoze nkabyica nubundi mba mbona nkoreye ubusa byose ari zero","i don’t know it well. when i don’t know i get discouraged and feel like i don’t want to do it because,  when i do it and fail, i feel like it is a waste of time, it's all zero","demotivation","Biology, Chemistry, Swahili","Kiswahiri,Chemistry,Biology","","",1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.367,0.604,0.538,0.446,0.461,0.543,0.372,0.372,0.425,0.767,0.8,0.508,0.583,0.533,0.583,0.65
"10","motivation","demotivation","A","n51","nm51_1","nm51_1_3","motivation451_1","no","no",NA,"13","male","1","yes","kiswahiri,chemistry,biology","when you don’t know something and you work on it and find you failed at it. then, you show to other students, they make fun of you and makes you angry and you feel, you won’t do it again.","yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","expectancy","negative",NA,NA,"expectancy",NA,NA,NA,"coder 1","expectancy/ different/ negative","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"costs/emotional",NA,NA,"nta ba mbizi neza. iyo ntabizi ncika intege nkumva ntashaka kubikora kubera ko nubundi iyo mbikoze nkabyica nubundi mba mbona nkoreye ubusa byose ari zero","i don’t know it well. when i don’t know i get discouraged and fell like i don’t want to do it because,  when i do it and fail, i fell like it is a waste of time, it's all zero","demotivation","Biology, Chemistry, Swahili","Kiswahiri,Chemistry,Biology","","",1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.367,0.604,0.538,0.446,0.461,0.543,0.372,0.372,0.425,0.767,0.8,0.508,0.583,0.533,0.583,0.65
"10","motivation","demotivation","A","n51","nm51_1","nm51_1_4","motivation451_1","no","no",NA,"13","male","1","yes","kiswahiri,chemistry,biology","when you don’t know something and you work on it and find you failed at it. then, you show to other students, they make fun of you and makes you angry and you feel, you won’t do it again.","yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","expectancy","negative",NA,NA,"expectancy",NA,NA,NA,"coder 1","expectancy/ different/ negative","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"costs/emotional",NA,NA,"nta ba mbizi neza. iyo ntabizi ncika intege nkumva ntashaka kubikora kubera ko nubundi iyo mbikoze nkabyica nubundi mba mbona nkoreye ubusa byose ari zero","i don’t know it well. when i don’t know i get discouraged and fell like i don’t want to do it because,  when i do it and fail, i fell like it is a waste of time, it's all zero","demotivation","Biology, Chemistry, Swahili","Kiswahiri,Chemistry,Biology","","",1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.367,0.604,0.538,0.446,0.461,0.543,0.372,0.372,0.425,0.767,0.8,0.508,0.583,0.533,0.583,0.65
"10","motivation","demotivation","A","n51","nm51_1","nm51_1_5","motivation451_1","no","no",NA,"13","male","1","yes","kiswahiri,chemistry,biology","when you don’t know something and you work on it and find you failed at it. then, you show to other students, they make fun of you and makes you angry and you feel, you won’t do it again.","yes","yes","yes","agreement","demotivation","demotivation","demotivation","agreement","expectancy","negative",NA,NA,"expectancy",NA,NA,NA,"none","expectancy/ different/ negative","different",NA,NA,NA,NA,NA,NA,NA,NA,NA,"source",NA,"source",NA,"agreement","source","value/utility/useless","changed later",NA,"nta ba mbizi neza. iyo ntabizi ncika intege nkumva ntashaka kubikora kubera ko nubundi iyo mbikoze nkabyica nubundi mba mbona nkoreye ubusa byose ari zero","i don’t know it well. when i don’t know i get discouraged and fell like i don’t want to do it because,  when i do it and fail, i feel like it is a waste of time, it's all zero","demotivation","Biology, Chemistry, Swahili","Kiswahiri,Chemistry,Biology","","",1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.367,0.604,0.538,0.446,0.461,0.543,0.372,0.372,0.425,0.767,0.8,0.508,0.583,0.533,0.583,0.65
"10","motivation","demotivation","A","n51","nm51_2","nm51_2_1","motivation451_2","no","yes","no","13","male","1","yes","kiswahiri,chemistry,biology",NA,"yes","no","no","coder 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ariko wenda mwazangira inama nkisubira ho kuko n'umva nanjye nshaka kuzatsinda","but maybe you could advise me, and correct myself because  i too want to succeed",NA,"Biology, Chemistry, Swahili","Kiswahiri,Chemistry,Biology","","",1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.367,0.604,0.538,0.446,0.461,0.543,0.372,0.372,0.425,0.767,0.8,0.508,0.583,0.533,0.583,0.65
"100","motivation","motivation","A","m77","mm77_1","mm77_1_1","motivation6877_1","yes","yes","yes","15","female","1","yes","ikinyarwanda,history,geography",NA,"yes","yes","yes","agreement","motivation","motivation","motivation","agreement","positive","utility",NA,NA,"positive","utility",NA,NA,"agreement","positive/ utility","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"value/intrinsic",NA,NA,"ari byiza kandi mbona bizangirira akamaro","it is good and i will benefit from it","motivation","","","Ikinyarwanda,History,Geography","Maths,English",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0.383,0.394,0.373,0.358,0.464,0.442,0.286,0.256,0.396,0.588,0.617,0.596,0.4,0.467,0.517,0.967
"100","motivation","motivation","A","m77","mm77_1","mm77_1_2","motivation6877_1","no","no",NA,"15","female","1","yes","ikinyarwanda,history,geography",NA,"yes","yes","yes","agreement","motivation","motivation","motivation","agreement","positive","utility",NA,NA,"positive","utility",NA,NA,"agreement","positive/ utility","utility","not specified",NA,NA,"not specified",NA,NA,"agreement","other","other",NA,NA,NA,NA,NA,NA,"value/utility/other",NA,NA,"ari byiza kandi mbona bizangirira akamaro","it is good and i will benefit from it","motivation","","","Ikinyarwanda,History,Geography","Maths,English",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0.383,0.394,0.373,0.358,0.464,0.442,0.286,0.256,0.396,0.588,0.617,0.596,0.4,0.467,0.517,0.967
"100","motivation","motivation","A","m77","mm77_2","mm77_2_1","motivation6877_2","no","yes","no","15","female","1","yes","ikinyarwanda,history,geography",NA,"yes","yes","yes","agreement","motivation","motivation","motivation","agreement","utility",NA,NA,NA,"different",NA,NA,NA,"coder 2","different","different",NA,NA,NA,NA,NA,NA,NA,NA,NA,"consequence",NA,"consequence",NA,"agreement","consequence","consequence",NA,"motivation","bituma nduhura ubwonko","it makes me to relax the brain","motivation","","","Ikinyarwanda,History,Geography","Maths,English",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0.383,0.394,0.373,0.358,0.464,0.442,0.286,0.256,0.396,0.588,0.617,0.596,0.4,0.467,0.517,0.967
"100","motivation","motivation","A","m77","mm77_3","mm77_3_1","motivation6877_3","no","yes","no","15","female","1","yes","ikinyarwanda,history,geography",NA,"yes","yes","yes","agreement","motivation","motivation","motivation","agreement","different",NA,NA,NA,"different",NA,NA,NA,"none","utility","utility","general",NA,NA,"general",NA,NA,"agreement","general","general",NA,NA,NA,NA,NA,NA,"value/utility/general",NA,NA,"kubera ko ari byiza mubuzima","because it is good for life","motivation","","","Ikinyarwanda,History,Geography","Maths,English",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0.383,0.394,0.373,0.358,0.464,0.442,0.286,0.256,0.396,0.588,0.617,0.596,0.4,0.467,0.517,0.967
"100","motivation","motivation","A","m77","mm77_4","mm77_4_1","motivation6877_4","no","yes","no","15","female","1","yes","ikinyarwanda,history,geography",NA,"yes","yes","yes","agreement","motivation","motivation","motivation","agreement","positive",NA,NA,NA,"positive",NA,NA,NA,"agreement","positive","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"value/intrinsic",NA,NA,"bintera kwishima","it excites me","motivation","","","Ikinyarwanda,History,Geography","Maths,English",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0.383,0.394,0.373,0.358,0.464,0.442,0.286,0.256,0.396,0.588,0.617,0.596,0.4,0.467,0.517,0.967
"100","motivation","motivation","A","m77","mm77_5","mm77_5_1","motivation6877_5","no","yes","no","15","female","1","yes","ikinyarwanda,history,geography",NA,"yes","yes","yes","agreement","motivation","motivation","motivation","agreement","positive",NA,NA,NA,"utility",NA,NA,NA,"coder 2","utility","utility","learning",NA,NA,"school",NA,NA,"coder 1","learning","learning",NA,NA,NA,NA,NA,NA,"value/utility/learning utility",NA,NA,"bintera kumenya byimbitse","it makes me know more","motivation","","","Ikinyarwanda,History,Geography","Maths,English",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0.383,0.394,0.373,0.358,0.464,0.442,0.286,0.256,0.396,0.588,0.617,0.596,0.4,0.467,0.517,0.967
