"school","sno","age","gender","school_grade","final_coding","statement_Kinyarwanda","statement_English"
"A","n64_64_2",15,"female",1,"expectancies-consequence-goals/outcome-costs/effort","mba nshaka amanota kuko iyo nstinzwe ndababara kuko hari amasomo adukomerera, ahanini ururimi ntabwo tuba tu rw'umva niyo gusoma ururimi tubishobora, ariko gusobanukirwa uko gisobanura m'ururimi w'umva","i want good marks because when i fail, i get sad. because there are subjects that are hard for us, mostly the language, that we don’t understand. if we able to read in that language, we still find it hard to understand what it in the language we understand."
"B","m133_133_6",16,"male",1,"goals/evaluative","ngira ishyaka kubera ko hari bagenzi banjye turi guhanganira amanota meza","i am motivated because i am competing with my friens on who can get better marks"
"B","m160_160_4",15,"female",3,"goals/family support","mba nkeneye ko nabazaba bankomoka ho bazamenya inkomoko yahobari","i need my future children to know the origin of where they are [their country]"
"B","m160_160_7",15,"female",3,"goals/family support","mba numva nshaka ko abazankomoka ho nagira icyo mbasigira","i want my future children to inherite something"
"B","m162_162_1",18,"male",3,"goals/mastery","mba nshaka kumenya byimbitse ibyo nigishijwe na mwarimu mu ishuri","i want to know in depth what i have been taught in class"
"A","n12_12_9",15,"female",2,"goals/mastery","nshaka kumenya iryosomo neza kandi cyane","i want to know the subject well and a lot"
"B","m91_91_3",15,"female",1,"goals/mastery","kubera ko hari ibyo mba nshaka kumenya byinshi","because i want to learn a lot more things"
"A","n32_32_2",14,"male",2,"goals/mastery","mbanshaka kumenya","i want to know"
"A","n32_32_10",14,"male",2,"goals/mastery","mba nshaka kumenya ikoranabuhanga","i want to know about the technology"
"B","m139_139_1",17,"female",1,"goals/mastery","mukora hari byo nshaka kumenya kubera ko ndamutse nta wu koze hari ibyo ntamenya","i do it because there are things i want to know/learn and if i didn't do it i wouldn’t know them"
"A","n42_42_10",14,"female",1,"goals/mastery","mbanshaka kumenya byinshi cyane no kunguka ubumenyi bwinshi","i want to know a lot and gain a lot ofknowledge"
"A","ns306_s306_18",16,"female",3,"goals/mastery","mba nshaka kumenya impamvu turyiga","i want to know the reason why we study it"
"B","m160_160_2",15,"female",3,"goals/mastery","mba numva nkeneye kumenya amateka y'igihugu cyanjye","i need to know the history of my country"
