"sno_student","school","sno","age","gender","school_grade","statement_Kinyarwanda","statement_English"
1,"B","m118_118_7",16,"female",1,"kandi binaterwa n'amasaha hamwe n'amasomo urimo kwiga","it also depends on the subjects/lessons your studies and the time your studying it"
1,"B","m118_118_4",16,"female",1,"kandi binaterwa n'isomo","and it depends on the subject/lesson"
1,"B","m118_118_5",16,"female",1,"bigaterwa n'igihe runaka cyangwa amasaha","it also depends on the time or the hours"
1,"B","m118_118_8",16,"female",1,"kandi binaterwa n'ikigo aho giherereye ahatuje cyangwa ahari urusaku","it also depends on the location of the school. whether it is situated somewhere that's quiet or where there is a lot of noise"
3,"B","m95_95_1",12,"male",1,"ngira ishyaka kugira ngo numve ibyo mwarimu yasobanuraga","i am motivated to learn/understand what the teacher was explaining"
4,"A","n3_3_5",14,"female",2,"bituma ndusha ho kugira ishyaka ryo kumenya amasomo yose","it makes me more motivated to know all the other lessons/ subjects."
5,"A","n14_14_5",14,"female",1,"mba mfite ishyaka","i am motivated"
8,"B","m42_42_4",14,"male",1,"ushobora kuba urimo ukora umwitozo ariko ntugire ishyaka ryo kutumva ikibazo neza","you might be doing the exercise but do not have motivation of understanding well the question"
8,"B","m42_42_5",14,"male",1,"birashoboka ko ushobora kuba urimo ukora umwitozo utawumvise ariko njyewe numva ko ibyo nagakoze ari byo ntigiriramo ishyaka","it is possible that you can do the exercise that you have not understood, but i feel that what i can do are the exercises that i am not motivated about."
8,"B","m42_42_7",14,"male",1,"wenda nshobora kutagira ishyaka ndimo nkora nka geography simbenayigirira ishyaka","maybe i might not be motivated in the lesson/subject of geography"
10,"A","n51_51_2",13,"male",1,"ariko wenda mwazangira inama nkisubira ho kuko n'umva nanjye nshaka kuzatsinda","but maybe you could advise me, and correct myself because  i too want to succeed"
12,"B","m50_50_8",15,"male",1,"tutavanguye yose tukayaha agaciro pe","that they should all be valueable without being picky"
12,"B","m50_50_7",15,"male",1,"runaka ariko noneho ndagira ngo tuginama twebwe yo kugira ngo dufate icyemezo cyo kwiga amasomo","but i want all of us to agree to take a decision of participating in all subjects without being selective, give importance to all subjects"
12,"B","m50_50_6",15,"male",1,"mu mukoro duhabwa hari abatigirira ishyaka na mashyushyu yoku wu subiza bitewe n'isomo","some don't have the will and eagerness to participate in the exercises we do depending on a certain subject"
12,"B","m50_50_5",15,"male",1,"tutagendeye kuri iri ndaryumva iri siryumva tukiga tutavanguye amasomo","regardless of whether you understand it or not, we should study them wihtout being picky"
15,"A","n45_45_9",17,"male",2,"mbasha gushimisha umutwe","so i can be happy"
19,"A","n20_20_1",15,"male",1,"[no data]","[no data]"
22,"A","n49_49_3",12,"male",1,"oya ngomba kubishaka","no i have to want to"
22,"A","n49_49_2",12,"male",1,"biba bishoboka","it can be possible"
22,"A","n49_49_4",12,"male",1,"kandi ishyaka ndankora[kandi mbishaka ndabikora?]","[and when i want to i can achieve/do it?]"
27,"B","m179_179_4",18,"female",3,"bitewe n'umwarimu kandi nukuntu atwigisha isomo rye","depending on the teacher and the way he teaches us his /her subject"
28,"B","m181_181_2",17,"male",3,"mubyukuri iyo nkora umwitozo hari igihinduka mu myigire yanjye ikindi kandi hari urwego mvaho hari nurwonjyaho","honestly, when i am doing my exercises, a lot changes in my studies and another thing is that, and i move from one stage to another"
