"sno_student","school","questionnaire_type_initial","coding_round_2_final_coding","sno_questionnaire","sno_statement","sno_segment","sno","age","gender","school_grade","statement_Kinyarwanda","statement_English"
75,"A","motivation","motivation","m111","mm111_4","mm111_4_1","motivation46111_4",13,"female",1,"numva ari isomo nkunda","i feel that it a subject/lesson that i love"
75,"A","motivation","demotivation","m111","mm111_8","mm111_8_1","motivation46111_8",13,"female",1,"amasaha yo kurya abageze umunyeshuri yataha agasanga batatetse bigatuma atiga neza ngo agire ishyaka","when it's time for lunch and the student goes home and find they have not cooked, it makes them demotivated and they cannot study well"
75,"A","motivation","demotivation","m111","mm111_5","mm111_5_1","motivation46111_5",13,"female",1,"hari igihe numva nanze isomo","at times i feel like i hate the subject/lesson"
75,"A","motivation","motivation","m111","mm111_7","mm111_7_1","motivation46111_7",13,"female",1,"mba mfite ibitandangaza","i don't get distractions"
75,"A","motivation","motivation","m111","mm111_4","mm111_4_1","motivation46111_4",13,"female",1,"numva ari isomo nkunda","i feel that it a subject/lesson that i love"
75,"A","motivation","demotivation","m111","mm111_8","mm111_8_1","motivation46111_8",13,"female",1,"amasaha yo kurya abageze umunyeshuri yataha agasanga batatetse bigatuma atiga neza ngo agire ishyaka","when it's time for lunch and the student goes home and find they have not cooked, it makes them demotivated and they cannot study well"
75,"A","motivation","demotivation","m111","mm111_5","mm111_5_1","motivation46111_5",13,"female",1,"hari igihe numva nanze isomo","at times i feel like i hate the subject/lesson"
75,"A","motivation","motivation","m111","mm111_7","mm111_7_1","motivation46111_7",13,"female",1,"mba mfite ibitandangaza","i don't get distractions"
16,"A","demotivation","motivation","m120","mm120_2","mm120_2_1","motivation11120_2",15,"male",1,"kubera ko ayo masomo ntigeze nyishyiramo","because i never disliked those subjects/lessons"
16,"A","demotivation","demotivation","m120","mm120_8","mm120_8_1","motivation11120_8",15,"male",1,"hari igihe mba ntabyize byakongera kuza nubundi sibyige  bigatuma ncika imbaraga zo kubyiga","sometimes i don't study for them and when the same questions are set again, i still do not revise for them which discourages me to study for it"
16,"A","demotivation","demotivation","m120","mm120_5","mm120_5_1","motivation11120_5",15,"male",1,"mba numva ko n'ubundi nt'amanota menshi iryosomo rifite","i feel that this subject has not a lot of points in any way"
16,"A","demotivation","demotivation","m120","mm120_1","mm120_1_1","motivation11120_1",15,"male",1,"mwarimu ntigeze mukurikira igihe yari kwigisha","i never payed attetion to the theacher the time he/she was teaching"
16,"A","demotivation","demotivation","m120","mm120_7","mm120_7_1","motivation11120_7",15,"male",1,"ntangufu mba nabishyizemo","i don't put in any effort"
16,"A","demotivation","demotivation","m120","mm120_3","mm120_3_1","motivation11120_3",15,"male",1,"rimwe na rimwe ntaruhare runini n'ubushake mba nabigizemo","sometimes i don't participate in it and i don't have the will to do it"
16,"A","demotivation","demotivation","m120","mm120_6","mm120_6_1","motivation11120_6",15,"male",1,"mwarimu atigeze abinshishikariza cyane","the teacher does not encourage us"
16,"A","demotivation","motivation","m120","mm120_4","mm120_4_1","motivation11120_4",15,"male",1,"hari igihe mba nari shyizemo amasomo ngomba gutsinda andi nkayashyira kuruhande","there are times i feel like i should suceed in some subjects/lessons and i put others  on the side"
16,"A","demotivation","motivation","m120","mm120_2","mm120_2_1","motivation11120_2",15,"male",1,"kubera ko ayo masomo ntigeze nyishyiramo","because i never disliked those subjects/lessons"
16,"A","demotivation","demotivation","m120","mm120_8","mm120_8_1","motivation11120_8",15,"male",1,"hari igihe mba ntabyize byakongera kuza nubundi sibyige  bigatuma ncika imbaraga zo kubyiga","sometimes i don't study for them and when the same questions are set again, i still do not revise for them which discourages me to study for it"
16,"A","demotivation","demotivation","m120","mm120_5","mm120_5_1","motivation11120_5",15,"male",1,"mba numva ko n'ubundi nt'amanota menshi iryosomo rifite","i feel that this subject has not a lot of points in any way"
16,"A","demotivation","demotivation","m120","mm120_1","mm120_1_1","motivation11120_1",15,"male",1,"mwarimu ntigeze mukurikira igihe yari kwigisha","i never payed attetion to the theacher the time he/she was teaching"
16,"A","demotivation","demotivation","m120","mm120_7","mm120_7_1","motivation11120_7",15,"male",1,"ntangufu mba nabishyizemo","i don't put in any effort"
16,"A","demotivation","demotivation","m120","mm120_3","mm120_3_1","motivation11120_3",15,"male",1,"rimwe na rimwe ntaruhare runini n'ubushake mba nabigizemo","sometimes i don't participate in it and i don't have the will to do it"
16,"A","demotivation","demotivation","m120","mm120_6","mm120_6_1","motivation11120_6",15,"male",1,"mwarimu atigeze abinshishikariza cyane","the teacher does not encourage us"
16,"A","demotivation","motivation","m120","mm120_4","mm120_4_1","motivation11120_4",15,"male",1,"hari igihe mba nari shyizemo amasomo ngomba gutsinda andi nkayashyira kuruhande","there are times i feel like i should suceed in some subjects/lessons and i put others  on the side"
25,"A","motivation","motivation","m17","mm17_7","mm17_7_1","motivation1517_7",16,"male",2,"numva nta wandusha mwishuri","i feel like no one will be better than me in class"
25,"A","motivation","motivation","m17","mm17_5","mm17_5_1","motivation1517_5",16,"male",2,"numva nanjye natera intera mu gukora cyane","so i can take a step to working harder"
25,"A","motivation","motivation","m17","mm17_8","mm17_8_1","motivation1517_8",16,"male",2,"numva nanjye nagera aho abandi bageze","i feel like achieving what others have (achieved )"
