"Category","Sub_category1","Sub_category2","Segments (M)","Students (M)","Segments (D)","Students (D)"
"Value","","",51.26,88.64,7.25,24.1
"Value","intrinsic","",18.55,55.68,0,0
"Value","utility","",32.7,71.59,7.25,24.1
"Value","utility","daily life",1.26,7.95,0.2,1.2
"Value","utility","general",3.14,15.91,0.59,2.41
"Value","utility","learning utility",10.85,37.5,0,0
"Value","utility","school utility",11.32,40.91,1.37,7.23
"Value","utility","social utility",2.52,13.64,0,0
"Value","utility","useless",0,0,4.31,16.87
"Value","utility","other",3.62,21.59,0.78,2.41
"Total","","",636,88,510,83
