"","Category","Sub_category1","Segments (M)","Students (M)","Segments (D)","Students (D)"
"1","goals","",12.74,35.23,0,0
"2","goals","evaluative",0.16,1.14,0,0
"3","goals","family support",0.31,1.14,0,0
"4","goals","mastery",2.2,14.77,0,0
"5","goals","normative",0.47,3.41,0,0
"6","goals","outcome",3.14,18.18,0,0
"7","goals","social approval",1.89,12.5,0,0
"8","goals","social concern",0.47,1.14,0,0
"9","goals","social responsibility",0.31,1.14,0,0
"10","goals","social status",3.77,15.91,0,0
"11","total","",636,88,510,83
