"Categories","Facet","Sub facet","Statements (M; in %)","Students (M; in %)","Statements (A; in %)","Students (A; in %)"
"Value","","",54.34,88.64,8.08,22.89
"Value","intrinsic","",18.11,53.41,0,0
"Value","utility","",36.97,70.45,8.08,22.89
"Value","utility","daily life",1.48,7.95,0.23,1.2
"Value","utility","general",3.7,15.91,0.69,2.41
"Value","utility","learning",12.75,37.5,0,0
"Value","utility","school",13.31,40.91,1.39,7.23
"Value","utility","social",2.77,12.5,0,0
"Value","utility","useless",0,0,4.85,15.66
"Value","utility","other",4.44,21.59,0.92,2.41
"n","","",541,88,433,83
